Country,S/N,CODE,STATE,NAME,WIKIDATA,MS_FB_PARE,MS_FB
Nigeria,258,SC/258/DT,Delta State,Oshimili North,Q59819019,country:ng/state:de,country:ng/state:de/state-assembly-constituency:258
Nigeria,244,SC/244/DT,Delta State,Aniocha South,Q59819000,country:ng/state:de,country:ng/state:de/state-assembly-constituency:244
Nigeria,801,SC/801/OY,Oyo State,Afijio,Q59819759,country:ng/state:oy,country:ng/state:oy/state-assembly-constituency:801
Nigeria,448,SC/448/JG,Jigawa State,S/Tankara,Q59819274,country:ng/state:ji,country:ng/state:ji/state-assembly-constituency:448
Nigeria,733,SC/733/OG,Ogun State,Ijebu East Area,Q59819667,country:ng/state:og,country:ng/state:og/state-assembly-constituency:733
Nigeria,500,SC/500/KN,Kano State,Gezawa,Q59819348,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:500
Nigeria,441,SC/441/JG,Jigawa State,Kazaure,Q59819262,country:ng/state:ji,country:ng/state:ji/state-assembly-constituency:441
Nigeria,210,SC/210/BO,Borno State,Magumeri,Q59818954,country:ng/state:bo,country:ng/state:bo/state-assembly-constituency:210
Nigeria,514,SC/514/KN,Kano State,Rano,Q59819369,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:514
Nigeria,504,SC/504/KN,Kano State,Tarauni,Q59819352,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:504
Nigeria,693,SC/693/NW,Nasarawa State,Gadabuke/Toto,Q59819613,country:ng/state:na,country:ng/state:na/state-assembly-constituency:693
Nigeria,509,SC/509/KN,Kano State,Kura/Gurun Mallam,Q59819360,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:509
Nigeria,806,SC/806/OY,Oyo State,Egbeda,Q59819768,country:ng/state:oy,country:ng/state:oy/state-assembly-constituency:806
Nigeria,519,SC/519/KN,Kano State,Tsanyawa/Kunchi,Q59819376,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:519
Nigeria,217,SC/217/BO,Borno State,Shani,Q59818963,country:ng/state:bo,country:ng/state:bo/state-assembly-constituency:217
Nigeria,524,SC/524/KN,Kano State,Garko,Q59819384,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:524
Nigeria,567,SC/567/KB,Kebbi State,Bunza,Q59819438,country:ng/state:ke,country:ng/state:ke/state-assembly-constituency:567
Nigeria,696,SC/696/NG,Niger State,Agaie,Q59819618,country:ng/state:ni,country:ng/state:ni/state-assembly-constituency:696
Nigeria,711,SC/711/NG,Niger State,Magama,Q59819638,country:ng/state:ni,country:ng/state:ni/state-assembly-constituency:711
Nigeria,493,SC/493/KN,Kano State,Makoda,Q59819337,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:493
Nigeria,222,SC/222/CR,Cross River State,Bakassi,Q59818970,country:ng/state:cr,country:ng/state:cr/state-assembly-constituency:222
Nigeria,512,SC/512/KN,Kano State,"Nassarawa, Kano State",Q59819365,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:512
Nigeria,714,SC/714/NG,Niger State,Mokwa,Q59819643,country:ng/state:ni,country:ng/state:ni/state-assembly-constituency:714
Nigeria,755,SC/755/OD,Ondo State,Akure North,Q59819693,country:ng/state:on,country:ng/state:on/state-assembly-constituency:755
Nigeria,287,SC/287/EB,Ebonyi State,Ivo,Q59819056,country:ng/state:eb,country:ng/state:eb/state-assembly-constituency:287
Nigeria,604,SC/604/KG,Kogi State,Olamaboro I,Q59819500,country:ng/state:ko,country:ng/state:ko/state-assembly-constituency:604
Nigeria,486,SC/486/KN,Kano State,Shanono/Bagwai,Q59819328,country:ng/state:kn,country:ng/state:kn/state-assembly-constituency:486
Nigeria,65,SC/65/AK,Akwa Ibom State,Nsit Atai,Q59818789,country:ng/state:ak,country:ng/state:ak/state-assembly-constituency:65
Nigeria,770,SC/770/OD,Ondo State,Ondo West I,Q59819713,country:ng/state:on,country:ng/state:on/state-assembly-constituency:770
